	label	int_0	int_1	int_2	int_3	int_4	int_5	int_6	int_7	int_8	int_9	int_10	int_11	int_12	cat_0	cat_1	cat_2	cat_3	cat_4	cat_5	cat_6	cat_7	cat_8	cat_9	cat_10	cat_11	cat_12	cat_13	cat_14	cat_15	cat_16	cat_17	cat_18	cat_19	cat_20	cat_21	cat_22	cat_23	cat_24	cat_25
0	0	118.0		11.0			0.0	0.0	1	15	0.0		411.0	15.0	249465548	1456353694	275649988	1743571057	3338408147	1875733963	1398771550	167288989	1425822847	1431224921	2933547241	309420420	3212366036	4174570321	721959830	282933060	528467723	3088518074	2501034507	4289620461	1254101296	2548844119	3678688470	1207869039	863732138	2519208902
1	0	3.0	234.0	12.0	14.0	23.0	0.0	0.0	570	12	0.0	4.0	2890.0	12.0	2587426237	2610224383	1098801411	3653668135	3237544325	1875733963	1177052191	59654189	502653268	3264487172	4240766287	1326113349	4110171230		1812500665			3088518074	2501034507	3690107031	3082875303	3823295551		2093085390	809724924	751740247
2	0	10.0	8.0	4.0			0.0	0.0	1	2	0.0		447910.0	4.0	3076065545	3218055034	4080300966	3987455189	1510342791	2442946788	1582605209	1728948636	776897055	3136458514	2209530663	309420420	3212366036	434866514	1212833288	856464702	528467723	3657276081	2501034507	1920983084	1326133985	1740459102	3406427282	904633684	809724924	3977271069
3	0		45.0		7.0	2.0		0.0	26	0		1.0	1719.0		4159903713	3050676010	2570605359	3337888341	3338408147	1875733963	748539367	4181160870	776897055	578022973	2801580101	693246462	2809809494	3192841527	3975585252	1289502458	3523761834	3088518074	2501034507	3231485380	229311404	4184017737	1732207260	724509929	4284827650	3977271069
4	0	13.0	167.0	12.0		3.0	0.0	0.0	22	14	0.0	1.0	8627.0	12.0	3857972621	2695561126	2008234292	946620910	1304631590	1875733963	3173793722	1128426537	776897055	2112471209	1716706404	309420420	3212366036	3192841527	4089183897	1289502458	3523761834	2716538129	2501034507	4273985635	2737978529	3370249814	2429764462	954261794	809724924	3075991895
5	0	396.0	1061.0	4.0	43.0	8.0	5.0	0.0	1	43	1.0	7.0	115.0	43.0	1956842712	1146937519	1050392830	3139035582	1716517188	1875733963	3093792690	1326382297	635277210	3341995875	3090770462	3815952604	2809809494	3192841527	3581990624	1289502458	3523761834	2716538129	2501034507	3752917578	2122229021	1827865277	6516613	2593159975	840512973	1819479614
6	0	8.0	345.0	3.0			0.0	0.0	0	3	0.0		65797.0	3.0	2721092919	1722284041	1192971705	4064690171	978793326	2442946788	604075089	2404717433	776897055	3942230803	3603920818	1338967701	3212366036	2405518940	4003983379	622131485	528467723	3088518074	328343971	1659415310	2480902622	2904220716	334973643	708149096	4284827650	3977271069
7	0	7.0	98.0	1.0	127.0	2.0	0.0	0.0	11	1	0.0	1.0	42176.0	1.0	221112759	3902891738	2644275415	1873736454	1208037050	1875733963	256266758	4158305445	776897055	1971376381	2214409913	309420420	649792258	1427708937	2417872781	4144433027	1966974451	3088518074	169693503	2298625920	3540294357	4126692624	3213626781	2895702725	2568167914	3075991895
8	0	17.0	66.0				0.0	0.0	2	0	0.0		12703.0		3514017563	3281068033	4168064249	3651725911	1341634077	1875733963	1881578266	167288989	3797568529	1330438221	2433024200	2914625738	2809809494	1377673163	721959830	282933060	1966974451	3088518074	2501034507	3358289241	948217214	350722983	2072399692	3655375836	3452117374	3977271069
9	0	4.0	63.0	3.0	6.0		1.0	0.0	0	8	1.0		309.0	3.0	2612015308	4108870140	3502626063	2636441832	118363697	1875733963	1918570727	698367296	1018338363	1919016081	3047025643	3758835206	2809809494		225275386			3086925029	2501034507	2307659660	713500646	1133289874		610114983	2568167914	3977271069
